text,class
ogni volta che ci sono morti a causa delle condizioni meteo mi chiedo se quello che chiamiamo "sviluppo" sia davvero tale #allertameteoSAR,damage
Spero solo che alla conta finale i morti non vadano ascritti più all'abusivismo edilizio che al #maltempo#ForzaSardegna #allertameteoSAR,damage
Maltempo in #Sardegna nove morti - Sardegna - ANSA.it http://t.co/CX21uUPHwM via @ansa_topnews #allertameteoSAR,damage
Individuata 10ª vittima ancora molti dispersi dice Cappellacci #allertameteoSAR,damage
#allertameteoSAR Via siligheddu n'14 PALE MECCANICHE. RUSPE E UOMINI cON BRACCIA POSSENTI.. SONO POCHI E CON GRAVI DANNI.. URGENTE,damage
#allertameteoSAR servizio lavanderia gratuito x le persone che hanno subito danni Via delle Terme 41. Lavanderia le tre perle 3298827753,no damage
#allertameteoSAR nella struttura di Cala Saccaia in Via Madagascar n° 31 si può ritirare modulo per richiesta rimborso danni,no damage
#allertameteoSAR OFFRONO ALLoggioOlbia Marrante3403624311 Murru: 3470830042 B&amp;B10 posti letto gratis via Dannunzio92 3312095889,not relevant
#allertameteoSAR Serve 1 stufetta a casa di 1 signora ad Olbia che ha subito danni! Se qualcuno ne ha 1 e vuole regalarla 3388750133,no damage
Ora nn piove si contano i danni molti e si piangono i mortitroppi. #ForzaSardegna #Olbia #allertameteoSAR,no damage
#Sardegna: #ProtezioneCivile 9 i morti - #allertameteoSAR #maltempo #ciclone - Top News - ANSA.it http://t.co/WRPgXsxUZ2 via @ansa_topnews,damage
.“@Gabrymalvagia: @Rainews24 @TgLa7 @tg3 @RaiUno dopo quanti morti e dispersi un'edizione straordinaria sulla #Sardegna  #allertameteoSAR ?”,damage
“@PiazzapulitaLA7: 9 morti in sardegna per i nubifragi.#AllertameteoSAR per chi puo' rendersi utile e dare aggiornamenti.”,damage
Almeno 16 i morti. Fonte: http://t.co/q7ZZT75S83#allertameteoSAR #Sardegna,damage
"@fanpage: #allertameteoSAR: evacuato il comune di Torpè. Scatta l'allarme per il pericolo del cedimento della diga: http://t.co/HGY72loWSz",damage
--Fotoreportage-- A Olbia case sventrate e crolli http://t.co/Y62rEjtGty via @la_stampa#allertameteoSAR,damage
UPDATE [18.11-23:00] #Sardegna +++#MALTEMPO PROVVISORIO: 9 MORTI+++ (6 Olbia 1 Dorgali 1 Uras 1 Torpè) #allertameteoSAR #emergenza24,damage
UPDATE [19.11-02:00] #Sardegna +++#MALTEMPO: BILANCIO PROVVISORIO: 9 MORTI E  +3 #DISPERSI+++  #allertameteoSAR #emergenza24,damage
UPDATE [19.11-08:00] #Sardegna +++#MALTEMPO: BILANCIO PROVVISORIO: 14 MORTI – SI TEMONO #DISPERSI+++  #allertameteoSAR #emergenza24,damage
UPDATE [19.11-12:30] #Sardegna +++#MALTEMPO: +17 MORTI #DISPERSI - DICHIARATO LO STATO DI EMERGENZA+++  #allertameteoSAR #emergenza24,damage
@MC_Carro la sardegna 14 morti x la pioggia oggi questo è il problema #allertameteoSAR,damage
trovato vivo uno dei dispersi da #Rainews  #allertameteoSAR,damage
“@ansa_topnews: funerali a Nuoro e Torpè: Capo Polizia saluta poliziotto eroe morto x la sua terra http://t.co/mv9QtpGIWa” #allertameteoSAR,damage
“@ansa_topnews: Alluvione Sardegna: si cerca disperso: Cala numero degli sfollati ora sono 460 http://t.co/hNHWLFWTUe” #allertameteoSAR,damage
Alluvione: in Gallura danni per 9 mln - Top News - ANSA.it http://t.co/kKHpROxrXx via @ansa_topnews #allertameteoSAR #sardegna,damage
#allertameteoSAR Quattordici #vittime decine di #disperso: #caos in #Sardegna http://t.co/62JjbM754U,damage
#allertameteoSAR per chi sta cercando o per chi ha trovato un animale disperso in #Sardegna twittatelo su #ANIMALIALLUVIONESAR RT please,no damage
La #Sardegna in ginocchio. Ad ora 9 morti. Acqua e fango ovunque e continua a piovere. Sarà una lunga notte. #allertameteoSAR,damage
#Sardegna  #allertameteoSAR sale a 16 il numero delle vittime ancora almeno un disperso,damage
Governatore della #Sardegna #Cappellacci parla di 17 morti causati da #allertameteoSAR,damage
#Sardegna Almeno 18 morti e 2.700 senza casa a causa dell'alluvione #allertameteoSAR #ForzaSardegna,damage
Non me ne frega un cazzo se ho i terreni che sembrano mare Sono morte sei persone porca puttana #allertameteoSAR,damage
..oggi mestizia..domani giustizia per i nostri morti..ma è solo una pia illusione.. non paga mai nessuno #allertameteoSAR #Sardegna,damage
Appena saputo del crollo di un ponte che collega la città al pronto soccorso. #Olbia #allertameteoSAR,damage
Quest'anno a #Olbia il 2013 ha fatto una strage. 6 morti per incidenti stradali e 7 vittime di un ciclone. #allertameteoSAR,damage
TRAGEDIA---&gt;- #Sardegna----&gt; #CicloneCleopatra---&gt; #AllertameteoSar--&gt;Il danno è fatto!.... Catastrofe su un popolo già Disastrato....,no damage
.#RABBIA X&gt;.#DISASTROSARDEGNA&gt; #CICLONECLEOPATRA&gt;+AMM del #MALAFFARE&gt;= #OLBIA 1 Città Morta!RESPONSABILISentitevi in #COLPA #AllertaMeteoSar,no damage
@ejajo ciao Jan le previsioni danno ancora pioggia con accumuli modesti qualche timido raggio di sole maestrale #allertameteoSAR,no damage
@HuffPostItalia Complimenti per disinformazione che fate solo per graziarvi i vostri politici.in sardegna morti e dispersi #allertameteoSAR,damage
#allertameteoSAR 12 morti.Ponte crollato statale 129 tra nuoro e Oroseitreni fermiscuole chiuse. SS 131 nuoro-olbia chiusa dal km 66,damage
Qui Radio Londra: emergenza #maltempo #Sardegna al momento il bilancio è di 9 morti e 5 dispersi #allertameteoSAR http://t.co/O2Qq6VznVX,damage
+++ Qui Radio Londra: #allertameteoSAR tra i dispersi anche una famiglia brasiliana con due bambini di #Arzachena +++,damage
Qui Radio Londra: il bilancio provvisorio dell'ondata di maltempo che ha colpito la #Sardegna è di 12 vittime e 10 dispersi #allertameteoSAR,damage
Qui Radio Londra: #Gabrielli "I morti accertati sono 16 ma probabilmente sono 18" #allertameteoSAR,damage
Qui Radio Londra: la metà delle strade provinciali sarde sono interessate da crolli frane ostruzioni e allagamenti #allertameteoSAR,damage
Giusi Salis @GiusiSalisSei morti. Sempre peggio #allertameteoSAR... http://t.co/tqzIQhXgH1,damage
@HuffPostItalia Interessante. Intanto in Sardegna 9 morti tantissimi dispersi e piena #allertameteoSAR,damage
I morti in Sardegna salgono a 14. E i giornalisti italiani sono molto preoccupati per la #Germania.#allertameteoSAR http://t.co/RMn1M7pqOp,damage
Molti dispersi nel comune di Torpè.#allertameteoSAR,damage
Una famiglia di tre persone ha perso la vita dopo il crollo di un ponte a Telti. A Olbia c'è anche una morta annegata.#allertameteoSAR,damage
Recuperati dai Vigili del Fuoco corpi della famiglia brasiliana dispersa ad Arzachena:4 personedi cui 2 bambini.#allertameteoSAR #Sardegna,damage
DORGALI - Un agente ha perso la vita nel crollo di un ponte sulla Provinciale 46 tra Oliena e Dorgali.#allertameteoSAR,damage
@Aiannuzzi da quanto riferisce http://t.co/MKDpFMUfyS la conta dei morti sale a 16.#allertameteoSAR,damage
Strada statale 129 nel tratto tra Nuoro e Orosei è interrotta per il crollo di un ponticello.#allertameteoSAR,damage
#Sardegna la conta dei morti sale a 17.Fonte: http://t.co/MKDpFMUfyS#allertameteoSAR #ForzaSardegna,damage
La diciassettesima vittima è bimbo disperso a Raica... Immenso dolore. #Cagliaripad http://t.co/EKmWFAhQ10 … #allertameteoSAR#ForzaSardegna,damage
Per crollo ponte è chiusa a Orosei anche Statale 129 fra il km 20 e 26.Piogge copiose anche nel Marghine e nella Baronia.#allertameteoSAR,damage
Vigili del fuoco hanno recuperato corpo del bimbo disperso ieri in località Raica sulla strada che collega Olbia a Telti.#allertameteoSAR,damage
@waze_it #allertameteoSAR #Sardegna segnalate situazioni di pericolo Strade chiuse farmacie aperte benzinai aperti ecc...,no damage
#allertameteoSAR se dovete e potete spostarvi in auto usate #waze per segnalare situazioni di pericolo vi siamo vicini forza Paris!,no damage
@PCFonteno si può usare app #waze per segnalare e ricevere segnalazioni di strade chiuse e situazioni di pericolo #allertameteoSAR,no damage
E stamane a disastro compiuto alla conta dei morti comincia la vomitevole parata di politici e governanti.#sardegna #allertameteoSar,damage
#allertameteoSAR #SOSALLUVIONESARDEGNA ancora una volta l'Italia piange i sui morti a causa dell'incuria e l'indifferenza di alcuni uomini,damage
Nella mia isola quattordici persone sono morte per il maltempo. Non si contano i dispersi #allertameteoSAR,damage
A cosa serve il sito della Regione #Sardegna? Se non danno informazioni su #allertameteoSAR? http://t.co/kGeBm3Baii,not relevant
Il 115 che crolla dalle 17 di ieri è inammissibile #olbia #allertameteoSAR,no damage
In Sardegna sono morte 9 persone e 5 sono disperse e a #raiuno si parla della #Cancellieri #allertameteoSAR,damage
10 i morti confermati in Sardegna #allertameteoSAR,damage
14 morti. Era così forte quella maledetta pioggia? Secondo me NO.. Troviamo i colpevoli veri! #allertameteoSAR,damage
Anche gli amici di San Gavino hanno subito danni incalcolabili. NON ABBANDONIAMOLI. #allertameteoSAR @alioska73,damage
Quattordici morti che disperazione #allertameteoSAR,damage
@oksymoron a sentire "bagna cauda" io mi immagino una coda di animale nel sugo. ora non so se buttarmi su dexter o six feet under,not relevant
Chel'Italia sia un territorio a rischio idrogeologico ce ne ricordiamo solo alla conta dei morti #allertameteoSAR @giornaleladige @trentinO,not relevant
Ci sono notizie sui dispersi di Arzachena? #allertameteoSAR #arzachena,damage
@lanuovasardegna ci sono aggiornamenti sulla situazione dei dispersi in #sardegna ? #allertameteoSAR #cleopatra,no damage
@enricoletta  14 morti sono troppo pochi per mobilitarsi prima delle 10? #allertameteoSAR,damage
#allertameteoSAR - ponte crollato statale 129 tra Nuoro e Orosei- SS 131 NUORO-OLBIA CHIUSA DAL KM 66 (BIVIO ORUNE-LULA\DORGALI),damage
#allertameteoSAR #ForzaSardegna #sardSOS  @OlbiaTurismo: Comunicazioni per procedura risarcimento danni: http://t.co/iMbpgRNviE,damage
Morire annegati dentro la propria casa in #Sardegna è un terribile contrappasso per una regione crepata dalla siccità.  #allertameteoSAR,not relevant
+++ #Sardegna altri 3 corpi recuperati sale a 12 il numero dei morti per l'alluvione +++ #allertameteoSAR,damage
Dato scioccante: in #Sardegna la percentuale delle morti a causa alluvione è più alta del 50% della media nazionale. #allertameteoSAR,damage
Oggi lutto nazionale in Sardegna. Si cerca ancora la vittima dispersa. #allertameteoSAR,damage
Sassari non dovrebbe aver subito alcun danno almeno in città #allertameteoSAR,no damage
Ma i morti della #Sardegna ricadono sulla coscienza di chi se n'è fregato di gestire il territorio. #ForzaSardegna #allertameteoSAR,damage
#allertameteoSAR i comuni più colpiti #Olbia #Torpè #Uras e #Oliena. Grave la situazione a #torpe' per il rischio di crollo della diga,no damage
Il #maltempo flagella la #Sardegna. #Cleopatra fa 16 morti 1 disperso http://t.co/157QTSisOG … #allertameteoSAR http://t.co/jjGfmP0r5g,damage
@Rainews24 9 morti ma questo e' un dettaglio per voi vero? #allertameteoSAR,damage
#allertameteoSAR Danneggiato il potabilizzatore che alimenta #Cagliari #Quartu #Selargius #Quartucciu... http://t.co/9L0YjkwEOG,damage
#allertameteoSAR Inagibile sede Guardia Medica di #Terralba. Servizio trasferito presso la sede Avis via Napoli 3. tel 0783.84513,damage
#AllertameteoSAR #URGENTE! #DISPERSI PELOSI! Ho trovato questa gattina in zona San Nicola è spaventatissima... http://t.co/MEvmU5yXDn,not relevant
#allertameteoSAR #URGENTE! Animali #DISPERSI Ho trovato questa gattina in zona San Nicola... È spaventatissima ... http://t.co/YwLLBwP8SV,no damage
#allertameteoSAR Mettiamo a disposizione servizio lavanderia gratuito x le persone che hanno subito danni a causa... http://t.co/gRINyTYhv1,damage
Il maltempo fa strage in Sardegna. Nove morti e quattro dispersi http://t.co/vDEBrHzKoo #allertameteoSAR,damage
Sentire Gabrielli che dice che "la cartina era rossa" Non riesco a capirne il senso...18 MORTI#allertameteoSAR,damage
Le schede sulla stima dei danni da presentare ai Comuni (per privati aziende ed enti pubblici) http://t.co/ZhFdL3BiFG #allertameteoSAR,no damage
Ciclone sulla Sardegna nove morti e 5 dispersi - Cronaca - ANSA.it http://t.co/geSMmdDU3r vía @ansa_topnews #allertameteoSAR,damage
SS126Terralba-Arcidano chiusa per pericolo crollo ponte - in corso accertamenti sulla stabilità #allertameteoSAR,no damage
Ricoverato in stato di choc l'uomo che ha visto annegare moglie e figlia. I danni sono alle cose e al cuore #allertameteoSAR,damage
@giuIysua: Raffaele Bigi: metto a disposizione GRATUITAMENTE il mio B&amp;B10 posti letto via Dannunzio 92 Tel 331 2095889#allertameteoSAR,not relevant
9 morti e 5 dispersi. #StayStrong #Sardegna #allertameteoSAR,damage
“@ansa_it: Alluvione Sardegna: bilancio 16 morti https://t.co/xQfYewoZ0x” #allertameteoSAR #ciclonecleopatra,damage
@EnricoLetta @insopportabile ...pensavamo di dover aspettare una decina di morti in piú....ma dobbiamo anche dire Grazie? #allertameteoSAR,no damage
#Sardegna #allertameteoSARSplendida terra mia due mesi fa eri stupenda..Oggi sei gravemente ferita ma i Sardi sapranno curarti.,no damage
Maltempo in Sardegna una donna morta a Oristano e quattro dispersi a Olbia http://t.co/8mez7t8Llo #allertameteoSAR #sardegna,damage
Ciclone Cleopatra. Il bilancio dei morti in Sardegna sale a tre: due donne e un poliziotto http://t.co/8mez7t8Llo #allertameteoSAR,damage
Nubifragio in Sardegna sale a sei il bilancio dei morti per il maltempo nell'isola http://t.co/8mez7t8Llo #allertameteoSAR #sardegna,damage
Il maltempo fa strage in Sardegna. Nove morti e quattro dispersi http://t.co/7yNCqiGcv0 #allertameteoSAR,damage
ULTIM'ORA: TERRIBILE ALLUVIONE IN SARDEGNA ALMENO 15 TRA MORTI E DISPERSI http://t.co/4Ldjp4pT3V #allertameteoSAR,damage
Alluvione in Sardegna è una notte da incubo: morti e dispersi si scava nel fango #allertameteoSAR http://t.co/PscYSzTMPN,damage
Ciclone in Sardegna è strage Città isolate almeno nove morti - Quotidiano Net: http://t.co/V5DlfNTs8N #allertameteoSAR,damage
MALTEMPO: NEL NUORESE DUE MORTI UN DISPERSO E SEI FERITI - Videolina.it http://t.co/IiHh4jFAIg #allertameteoSAR,damage
#allertameteoSAR Raffaele Bigi metto a disposizione GRATUITAMENTE B&amp;B 10 posti letto via Dannunzio 92 ;331 2095889 https://t.co/FCrEa1kRM9,no damage
Sto crollando - ho aperto un evento dove potete scrivere sugli aiuti senza dover essere approvati #allertameteoSAR https://t.co/NWM0hkD0NB,no damage
Altri 3 dispersi ad Arzachena: una donna brasiliana con due figli. #allertameteoSAR,damage
#allertameteoSAR Ultimo bollettino: almeno 16 morti alle 10 riunione del Governo per stato di emergenza,damage
Il #maltempo flagella la #Sardegna. #Cleopatra fa 16 morti 1 disperso http://t.co/pkXCqmMOeO #allertameteoSAR http://t.co/jQzFKAOb3E",damage
#allertameteoSAR le vittime potrebbero essere 17 e ci sono ancora dei dispersi dice il presidente della Regione Cappellacci,damage
@ManoloArmani: Ciclone sulla Sardegna nove morti e 5 dispersi - Cronaca - ANSA.it http://t.co/NUpcP3yJ8Y vía @ansa_topnews #allertameteoSAR,damage
9 MORTI E 12 DISPERSI PREGHIAMO PER LA SARDEGNA AFFINCHÉ PASSI VELOCEMENTE QUESTA FREDDA NOTTE.  #olbia #allertameteoSAR #Sardegna,damage
"@_Spaam_: Nubifragio in Sardegna 19 morti. Nessun italiano tra le vittime." Sei solo un uomo di merda...#allertameteoSAR,damage
Chiunque abbia subito danni al proprio PC durante l'#allertaMeteoSar mi contatti e glielo riparo gratuitamente (se possibile)...#sardegna,no damage
#allertameteoSAR #morti #dispersi #sfollati #smottamenti #evacuazioni Stato investa su manutenzione territorio,no damage
@angealfa la #sardegna è in ginocchio l'#allertameteoSAR ci porta morti quattro dispersi di cui un bambino danni #ilgovernointervenga,damage
5 morti in #sardegna per #allertameteoSAR @EnricoLetta non abbandonateci @angealfa @QuagliarielloG @gasparripdl @Maurizio_Lupi @UnioneSarda,damage
Pare impossibile ma ci sono 9 morti per l'#allertameteoSAR,damage
#allertameteoSAR 18 morti e 2700 sfollati dramma infinito. #forzasardegna,damage
@RaiTv Se non si tratta della "Costa smeralda" non siamo interessanti? #allertameteoSAR I morti son saliti a sei...,damage
#allertameteoSARNon interrompetela eh Italia-Nigeria per dire che in Sardegna ci son stati sei morti... @RaiUno Idioti!,damage
Danni materiali negli scantinati della parte bassa di #Mogoro.Capi di bestiame morti a Morimenta ma Diga sottocontrollo.#allertameteoSAR,damage
#allertameteoSAR  nove morti in Sardegna per il maltempo,damage
#allertameteoSAR -Ponte crollato sulla S129 x Galtelli/Orosei,damage
il meteo da nuovamente fulmini e pioggia dalle 15 alle 23.. non ci voglio credere.. #sardegnaferita #Olbia #Sardegna #allertameteoSAR,no damage
e questo sarebbe il sostegno del resto d'Italia?! non ci sono parole.. #allertameteoSAR #sardegnaferita http://t.co/Ajz7dB5ppK,not relevant
@lapinadeejay #allertameteoSAR medio campidano diversi danni ad aziende agricoleper fortuna nessuna vittima.grazie x l'interesse mostrato,damage
Il numero dei morti aumenta di ora in ora. Terribile..Forza Sardegna rialzati più forte di prima!! #allertameteoSAR #Sardegna #ForzaSardegna,no damage
È doloroso vedere il proprio popolo in ginocchio ma vedere la propria vita spazzata via dall'acqua? La morte ingiusta? #allertameteoSAR,no damage
"Trova il lato positivo per il freddo" dicevano... Non ho nemmeno cominciato le ricerche! #limortacci #AllertameteoSAR,not relevant
#allertameteoSAR #Olbia far girare allarme animali dispersi http://t.co/OBpCfKKazD,no damage
@lapinadeejay @DavidGiord #allertameteoSAR 6 morti un gran casino,damage
@Nemi_Shi baja sardiniaporto cervo ed arzachena non hanno grandi danni."solo" strade allagate.il vero problema è ad Olbia #allertameteoSAR,damage
Morti e dispersi in Sardegna a causa del maltempo... #damn #allertameteoSAR,damage
Maltempo tre morti nell'isola: due donne annegano cede un ponte precipita un'auto della polizia http://t.co/6etDLgxfLD #allertameteoSAR,damage
Sapete se ci sono alberghi che danno ospitalità a chi non possa tornare a casa? Informazione che potrebbe essere utile. #allertameteoSAR,no damage
#allertameteoSAR evacuazione a torpè paura cedimento diga !!http://t.co/SMbxpA9mj4,damage
Ciclone #Cleopatra in Sardegna. Sei morti è cinque dispersi #allertameteoSAR,damage
Sardegna 17 morti. #Letta: per l’emergenza 20 mln. #Sardegna #alluvione #allertameteoSAR @ilsecoloxix http://t.co/lpvjdqnYGJ,damage
#allertameteoSAR Alluvione Sardegna: che cosa fare se il vostro veicolo è andato distrutto o disperso http://t.co/YL3aPli49n,no damage
Ministro @AndreaOrlandosp i 12 morti sono ad Olbia non a Sassari ma in che mani siamo??? #allertameteoSAR,damage
Tanti giovani morti in qst terribile tragedia... Mi piange il cuore!!! #allertameteoSAR #ForzaSardegna,damage
La diga di Torpe' non è danneggiata! #allertameteoSAR,no damage
#buongiornouncazzo #mattinieri .. 14 morti per #allertameteoSAR #Sardegna .. non si puo'!!! Mi stringo al dolore delle famiglie.. E sto!!!,damage
“@lanuovasardegna: Ciclone Cleopatra. Il bilancio dei morti in Sardegna sale a tre:http://t.co/DA9E6nMRZd #allertameteoSAR”,damage
Una tragedia 9 morti e continua a piovere #allertameteoSAR,damage
Un pensiero al grande popolo sardo ai suoi morti e a chi lavora in queste ore nel fango. Non siete soli #allertameteoSAR,damage
OLBIA “@Vogliadarianuov: A disposizione GRATUITA B&amp;B 10 posti letto via Dannunzio 92. Tel.331 2095889 Raffaele Bigi#allertameteoSAR”,not relevant
Tutte le info sui danni di #Cleopatra nell'isola su #allertameteoSAR,not relevant
troppi morti in sardegna troppi. #allertameteoSAR #ForzaSardegna.,damage
#BREAKINGNEWS - #Sardegna colpita da #Cleopatra. 14 morti e molti dispersi. #AllertameteoSAR #ForzaSardegna #Olbia http://t.co/S2Th9B0wUG,damage
Metto a disposizione GRATUITAMENTE il mio B&amp;B 10 posti letto via Dannunzio 92. Tel.331 2095889 Raffaele Bigi#allertameteoSAR,no damage
È purtroppo ci sono ancora dei dispersi #allertameteoSAR,damage
Ora i morti sarebbero nove #allertameteoSAR,damage
Olbia la città più colpita 6 morti #allertameteoSAR,damage
@EnricoLetta l'#allertameteoSAR ha già fatto quattro morti. La #Sardegna aspetta un segnale dal governo.,damage
Si parla di 5 morti per l'#allertameteoSAR. @SkyTG24 @Rainews24 @TgLa7 @Tg3web @MediasetTgcom24 @TG5mediaset @TG1_RAI @tg2rai,damage
9 morti almeno 10 dispersi centinaia di evacuati. Questa è per ora l'#allertameteoSAR http://t.co/QzX0MFjBra,damage
9 morti in un giorno. E piove ancora. E pioverà domani tutto il giorno. Qualcuno aiuti la Sardegna. #allertameteoSAR,damage
A Torpè (Olbia) manca la corrente e alcuni dispersi attendono di essere recuperati dai tetti e dagli alberi. #allertameteoSAR,damage
Altri 3 dispersi ad Arzachena: una donna brasiliana con due figli. Temo il bilancio dell'alba. #allertameteoSAR,damage
I ponti crollati gli scantinati non sgomberati gli argini dei fiumi precari. Non è colpa solo del maltempo. Non nel 2013. #allertameteoSAR,damage
Tra i 16 morti 4 bimbi. Una strage di innocenti. #allertameteoSAR,damage
#allertameteoSAR Ci sono notizie della donna dispersa con la bambina? La Nuova le mette tra le vittime :-( :-(,not relevant
Sale a 19 il numero di morti in sardegna #alluvionesardegna #allertameteoSAR,damage
#allertameteoSAR E siamo a 18 morti é una strage!,damage
La diga Maccheronis di #Torpè sembra essere fuori pericolo ma sono attese nuove precipitazioni e venti fortissimi stasera.#AllertameteoSAR,no damage
#Olbia via Donizetti quelli che si vedono sono i tetti delle macchine. Ci sono dei dispersi #allertameteoSAR http://t.co/2jF963GyJm,damage
#allertameteoSAR Ultimo bollettino: almeno 16 morti alle 10 riunione del Governo per stato di emergenza @UnioneSarda,damage
Il contributo di 200 euro spetta solo a chi ha la casa inagibile e danni strutturali. Aiutati che Dio ti aiuta #allertameteoSAR,no damage
#allertameteoSAR Ma che crollino i ponti dovremmo considerarla una cosa normale?,damage
@alinomilan ciao #allertameteoSAR allagamenti 9 morti e dispersi...,damage
"@Agenzia_Italia: #Nubifragio fa strage in #Sardegna. "18 morti tra cui 4 bambini" http://t.co/baSxlXlvpk http://t.co/ct9SPi8aCC",damage
#allertameteoSAR secondo l'unione sarda "almeno 16 morti",damage
@MirtoBuffendi  CI SONO DEI MORTI E PARECCHI DISASTRI... DIFFONDERE LE INFORMAZIONI è FONDAMENTALE ! #allertaMETEOSAR @Marinamas,damage
@Virus1979C 9 morti del maltempo in #Sardegna e il ministro degli interni #Alfano da Vespa a parlare di falchi e colombe.#ALLERTAMETEOSAR,damage
@pietroraffa @PIERPARDO 9 MORTI IN SARDEGNA - ALLUVIONE E DISASTRI IMMANI - MANCO UN EDIZIONE STRAORDINARIA TG !!! #allertameteoSAR,damage
Ora si contano danni e morti è il momento dell'azione e della solidarietà ma #Cappellacci nn doveva fare meglio di #Soru? #allertameteoSAR,damage
17 morti. Due nel paese vicino al mio. Non ci sono parole. #allertameteoSAR #ForzaSardegna,damage
Le strade crollate nella mia zona. #allertameteoSAR #Sardegna #ForzaSardegna http://t.co/oxNiY9AbX5,damage
12 mortiche tragedia! :(#AllertameteoSAR #Sardegna,damage
"@lorenzo_manunza: La #Sardegna è ora TT in Italia. Fuori da Twitter molto silenzio. #allertameteoSAR" eppure sembra siano 6 morti,damage
La Sardegna distrutta dai nubifragimortidanni...il cielo è senza cuore. #allertameteoSAR,damage
“@SardegnaNews: Ho paura che il bilancio dei morti non è ancora definitivo :-( Qualcuno parla di 14 morti ... Desolante. #allertameteoSAR”,damage
9 morti al momento. Help us! Alluvione #Sardegna. #allertameteoSAR.,damage
E mo voglio vedere se danno il lutto nazionale anche per loro #allertameteoSAR #alluvionesardegna,not relevant
#allertameteoSAR @Fiorello @rosale piogge sono riiniziate... speriamo non facciano danni! #paura,no damage
Tutti che parlano del tifone a Cleveland.. Ehi ci siamo anche noi stiamo affogando sta crollando tutto. Non ignorateci. #allertameteoSAR,not relevant
#ForzaSardegna #allertameteoSAR  Maltempo Sardegna almeno 17 morti Letta: "E' una tragedia nazionale" - Tgcom24 http://t.co/e7IJSw940t,damage
Solidarietà alla Sardegna"@lanuovasardegna: Nubifragio in Sardegna sale a sei il bilancio dei morti #allertameteoSAR #sardegna”,damage
B&amp;B 10 posti letto gratis via Dannunzio 92. Tel. 331 2095889 #sardegna #sos #gallura #olbia #AllertaMeteoSAR,not relevant
#cagliari ha iniziato a piovere di nuovosperiamo non faccia danni. #sardegna #olbia #gallura #AllertaMeteoSAR,no damage
@franciblbl @insopportabile ho letto ora di un crollo di un ponte e di strade inondate fa più figo parlare dell'America #allertameteoSAR,not relevant
la Sardegna crolla ma la politica ancora una volta impegnata a salvare il culone di una loro collega #CancellieriVergogna #allertameteoSAR,no damage
"@fderiu: Raffaele Bigi: Se servissemetto a disp GRATUITAMENTE il mio B&amp;B10 posti letto via Dannunzio 92 Tel 331 2095889#allertameteoSAR",not relevant
mi aspetto #luttonazionale per 17 morti (4 bimbi) #allertameteoSAR come hanno fatto per #naufragio #lampedusa e #incidente #Avellino O no?,damage
Ciclone #cleopatra travolge la #Sardegna morti e dispersi #allertameteoSAR - http://t.co/sG9zGjigKD via @NewsLeonardo,damage
Sempre troppo tardi.preferiamo sempre prima piangere i morti che salvarli. #allertameteoSAR,damage
“@LiaCapizzi: Vittime e dispersi. Che sia un aiuto vero e non a parole quello per Olbia e la Sardegna. #allertameteoSAR grazie Lia!!!!,damage
Con la morte nel cuore vi auguro una buona giornata che non lo è! #allertameteoSAR,not relevant
Buongiorno con la morte nel cuore! #allertameteoSAR,no damage
h13. Uras(Or). 1 morto le campagne in ginocchio piove ancora c'è paura. Proseguiamo verso #Terralba #allertameteoSAR,damage
Terralba in una condizione surreale.Sfollati nella scuola elementare.Paura del peggio mentre già i danni sono incalcolabili.#allertameteoSAR,damage
#sardegna #allertameteoSAR Saliti a 12 i morti.,damage
"@SardegnaOggi: Maltempo: Sardegna recuperato corpo bambino16 i morti http://t.co/4ILWQmXU06 " #allertameteoSAR#prayforsardegna,damage
Crollato il ponte che va da zona Tre Venezie alla zona dell'Ospedale Giovanni Paolo II #allertameteoSAR #Olbia,damage
Pensate ai rottami che avete buttato nei corsi dei fiumi e alle case abusive. Siete colpevoli anche voi di questi morti. #allertameteoSAR,damage
"@Magnitudo59: #allertameteoSAR Tempesta a Macomer alberi divelti e tetti scoperchiati c'è un ferito http://t.co/qMQnOz60r8",damage
"@Raffaella2F2L: Telti (OT): crolli e strade interrotte in loc. Micaloni Contra Murata Austinacciu Aratena e Andrieddu #allertameteoSAR,damage
Per i danneggiati chiamare il comune di #olbia 0789 52251e chiedere come fare per ottenere modulo risarcimento danni.#allertameteoSAR",no damage
Visita a #Terralba e #Uras per verificare lo stato delle cose e i danni causati da #Cleopatra. #allertameteoSAR #Sardegna #ForzaSardegna,no damage
Con i 20 mln stanziati dal Governo per i danni causati dal maltempo in#Sardegna che ci possiamo fare? Sono pochissimi! #allertameteoSAR,no damage
Raffaele Bigi: Se servisse metto a disposizione GRATUITAMENTE il mio B&amp;B10 posti letto via Dannunzio 92 Tel 331 2095889 #allertameteoSAR,no damage
#allertameteoSAR evacuato  il comune di Torpè. Scatta l'allarme per il pericolo del cedimento della diga:  http://t.co/aSWbP4polQ,no damage
Metto a disposizione GRATUITAMENTE il mio B&amp;B 10 posti letto via Dannunzio 92. Tel.331 2095889 Raffaele Bigi#allertameteoSAR,not relevant
Da poco sveglia e vengo a conoscenza solo adesso dei 14 morti sardi causa alluvione. Vicina a tutta la #Sardegna! #allertameteoSAR #buondi,damage
"@Xabaras_: Maltempo sei morti nell'isola.http://t.co/racOflKUW1 #allertameteoSAR",damage
È più importante #ItaliaNigeria che i ns #morti #vergogna #allertameteoSAR non c'è più rispetto x niente -_-",no damage
