hello
768
Loading data...
{'sympathy_and_emotional_support': 0, 'not_related_or_irrelevant': 1, 'infrastructure_and_utilities_damage': 2, 'other_useful_information': 3, 'injured_or_dead_people': 4, 'caution_and_advice': 5, 'displaced_people_and_evacuations': 6, 'donation_needs_or_offers_or_volunteering_services': 7, 'missing_trapped_or_found_people': 8}
Max Document length: 2407
Vocabulary Size: 1
Train/Dev split: 9226/1025
Writing to /home/ubuntu/Project/runs/1550603912

2019-02-19T19:18:48.252889: step 1, loss 17.5413, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.125, 1.0, 0.0, 0.0, nan, nan], recall [0.0, nan, 0.0, 1.0, 0.1111111111111111, 0.0, nan, nan, nan]
2019-02-19T19:32:34.881280: step 207, loss 1.55026, accuracy 0.4375, precision [nan, 0.0, 0.0, 0.625, 0.6666666666666666, nan, nan, 0.0, 0.0], recall [0.0, nan, 0.0, 0.7142857142857143, 0.4, 0.0, nan, nan, nan]
2019-02-19T19:32:38.880285: step 208, loss 1.64942, accuracy 0.375, precision [0.0, 0.0, 0.0, 0.6666666666666666, 0.5, nan, nan, 0.0, nan], recall [0.0, 0.0, nan, 0.5714285714285714, 0.4, nan, nan, nan, nan]
2019-02-19T19:32:42.882212: step 209, loss 2.33947, accuracy 0.25, precision [0.0, 0.0, 0.0, 0.5, 1.0, nan, nan, 0.0, nan], recall [nan, nan, 0.0, 0.3, 0.25, nan, 0.0, nan, nan]
2019-02-19T19:32:46.883827: step 210, loss 2.26223, accuracy 0.25, precision [nan, 0.0, 1.0, 0.6, 0.0, 0.0, nan, 0.0, 0.0], recall [0.0, 0.0, 0.3333333333333333, 0.5, 0.0, 0.0, nan, nan, 0.0]
2019-02-19T19:32:50.900215: step 211, loss 1.41046, accuracy 0.4375, precision [0.0, 0.0, nan, 0.625, 0.6666666666666666, nan, nan, nan, nan], recall [0.0, nan, 0.0, 0.625, 1.0, 0.0, nan, nan, nan]
2019-02-19T19:32:54.905340: step 212, loss 1.77365, accuracy 0.4375, precision [0.0, 0.0, nan, 0.6666666666666666, 0.75, 0.0, nan, 0.0, 0.0], recall [nan, 0.0, 0.0, 0.5, 0.6, nan, nan, 0.0, nan]
2019-02-19T19:32:58.905932: step 213, loss 2.13131, accuracy 0.3125, precision [0.25, 0.0, 1.0, 0.6, 0.0, nan, nan, nan, nan], recall [0.2, 0.0, 0.5, 0.5, 0.0, nan, nan, nan, nan]
2019-02-19T19:33:02.908338: step 214, loss 1.92404, accuracy 0.375, precision [0.0, 0.4, 0.3333333333333333, 1.0, 0.5, nan, 0.0, nan, 0.0], recall [0.0, 0.5, 1.0, 0.14285714285714285, 1.0, 0.0, nan, nan, nan]
2019-02-19T19:33:06.903286: step 215, loss 2.02264, accuracy 0.375, precision [nan, 0.75, 0.0, 0.375, nan, 0.0, nan, nan, 0.0], recall [0.0, 0.5, nan, 0.5, 0.0, nan, nan, nan, nan]
2019-02-19T19:33:11.011470: step 216, loss 1.7538, accuracy 0.375, precision [0.0, 0.5, 0.0, 0.6, 0.5, 0.0, nan, 0.0, nan], recall [nan, 0.25, nan, 0.375, 0.5, nan, nan, nan, nan]
2019-02-19T19:33:15.038713: step 217, loss 2.58011, accuracy 0.375, precision [0.0, 0.0, 0.0, 0.8333333333333334, 1.0, nan, nan, 0.0, 0.0], recall [nan, 0.0, 0.0, 0.5, 0.5, nan, nan, nan, nan]
2019-02-19T19:33:19.036841: step 218, loss 1.66607, accuracy 0.375, precision [nan, 1.0, 0.0, 0.5555555555555556, 0.0, nan, 0.0, 0.0, 0.0], recall [0.0, 0.2, nan, 0.625, nan, 0.0, nan, 0.0, nan]
2019-02-19T19:33:23.041820: step 219, loss 2.66562, accuracy 0.1875, precision [0.0, 0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0, 0.0], recall [0.0, 0.0, nan, 0.125, 1.0, nan, nan, nan, nan]
2019-02-19T19:33:27.037679: step 220, loss 2.59836, accuracy 0.1875, precision [nan, 0.0, nan, 0.5, 0.0, 0.0, nan, 0.0, nan], recall [nan, 0.0, 0.0, 0.25, nan, nan, nan, nan, nan]
2019-02-19T19:33:31.033114: step 221, loss 2.64437, accuracy 0.25, precision [0.0, 0.25, 0.0, 0.75, 0.0, nan, 0.0, 0.0, nan], recall [0.0, 0.3333333333333333, 0.0, 0.2727272727272727, nan, nan, nan, nan, nan]
2019-02-19T19:33:35.033476: step 222, loss 2.3083, accuracy 0.5, precision [0.0, 0.0, 0.5, 0.875, 0.0, 0.0, nan, 0.0, nan], recall [nan, 0.0, 0.5, 0.5833333333333334, nan, nan, nan, nan, nan]
2019-02-19T19:33:39.028180: step 223, loss 2.79617, accuracy 0.375, precision [0.25, 1.0, nan, 0.6666666666666666, 0.3333333333333333, 0.0, 1.0, 0.0, nan], recall [1.0, 0.5, nan, 0.2222222222222222, 0.3333333333333333, nan, 1.0, nan, nan]
2019-02-19T19:33:43.043437: step 224, loss 2.0339, accuracy 0.25, precision [0.0, 0.0, nan, 0.5714285714285714, nan, nan, nan, 0.0, nan], recall [0.0, 0.0, 0.0, 0.5, 0.0, 0.0, nan, nan, nan]
2019-02-19T19:33:47.049439: step 225, loss 1.49259, accuracy 0.625, precision [0.0, 0.3333333333333333, 0.5, 0.8, 0.75, nan, nan, 1.0, nan], recall [nan, 1.0, 0.3333333333333333, 0.5714285714285714, 1.0, nan, 0.0, 1.0, nan]
2019-02-19T19:33:51.061926: step 226, loss 1.85702, accuracy 0.375, precision [0.0, 1.0, 0.0, 0.6, 0.0, 1.0, nan, 0.5, 0.0], recall [nan, 0.3333333333333333, nan, 0.3, 0.0, 1.0, nan, 1.0, nan]
2019-02-19T19:33:55.067115: step 227, loss 2.74825, accuracy 0.375, precision [0.0, 0.75, 0.0, 0.6, 0.0, nan, 0.0, nan, nan], recall [nan, 1.0, nan, 0.42857142857142855, 0.0, 0.0, nan, nan, 0.0]
2019-02-19T19:33:59.190658: step 228, loss 2.04541, accuracy 0.3125, precision [nan, nan, 0.0, 0.5714285714285714, 0.5, nan, nan, 0.0, nan], recall [nan, nan, 0.0, 0.5714285714285714, 0.14285714285714285, 0.0, nan, nan, nan]
2019-02-19T19:34:03.209312: step 229, loss 2.19095, accuracy 0.25, precision [0.0, 0.3333333333333333, 0.0, 0.4, 0.3333333333333333, nan, nan, nan, nan], recall [0.0, 0.3333333333333333, nan, 0.4, 0.3333333333333333, nan, nan, 0.0, 0.0]
2019-02-19T19:34:07.202156: step 230, loss 2.27008, accuracy 0.25, precision [0.0, 1.0, 0.0, 0.3333333333333333, 0.0, nan, nan, 0.5, 0.0], recall [0.0, 1.0, nan, 0.5, 0.0, 0.0, nan, 0.2, nan]
2019-02-19T19:34:11.199733: step 231, loss 2.00339, accuracy 0.4375, precision [0.0, 0.0, 0.5, 0.6666666666666666, nan, nan, nan, 0.0, nan], recall [0.0, 0.0, 1.0, 0.8571428571428571, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T19:34:15.199197: step 232, loss 2.24017, accuracy 0.25, precision [0.0, 0.3333333333333333, 0.6666666666666666, 0.25, 0.0, nan, 0.0, 0.0, nan], recall [0.0, 0.3333333333333333, 1.0, 0.2, 0.0, nan, nan, 0.0, 0.0]
2019-02-19T19:34:19.208101: step 233, loss 2.09246, accuracy 0.375, precision [0.0, 1.0, 0.5, 0.6, 0.0, nan, 0.0, 0.5, nan], recall [nan, 0.3333333333333333, 1.0, 0.6, 0.0, nan, nan, 0.25, 0.0]
2019-02-19T19:34:23.213558: step 234, loss 1.84069, accuracy 0.3125, precision [0.0, 0.3333333333333333, 0.0, 1.0, 0.5, nan, 0.0, 0.0, 0.0], recall [nan, 0.3333333333333333, nan, 0.25, 1.0, nan, nan, nan, nan]
2019-02-19T19:34:27.215875: step 235, loss 2.53546, accuracy 0.1875, precision [0.0, 0.0, nan, 0.5, 0.0, 0.0, nan, nan, nan], recall [0.0, 0.0, 0.0, 0.6, nan, nan, nan, 0.0, nan]
2019-02-19T19:34:31.208773: step 236, loss 1.84197, accuracy 0.3125, precision [0.0, 0.0, 0.5, 0.6, 0.5, nan, 0.0, nan, 0.0], recall [0.0, 0.0, 0.3333333333333333, 0.5, 0.5, nan, nan, 0.0, nan]
2019-02-19T19:34:35.218404: step 237, loss 1.7058, accuracy 0.4375, precision [1.0, 0.6666666666666666, 0.5, 0.5, 0.5, 0.0, nan, 0.0, 0.0], recall [0.3333333333333333, 1.0, 0.25, 0.4, 1.0, nan, nan, 0.0, nan]
2019-02-19T19:34:39.215743: step 238, loss 1.84063, accuracy 0.25, precision [nan, 0.0, 0.3333333333333333, 0.2857142857142857, 0.0, nan, 1.0, 0.0, nan], recall [0.0, 0.0, 0.5, 0.3333333333333333, 0.0, nan, 0.5, nan, 0.0]
2019-02-19T19:34:43.229415: step 239, loss 2.24904, accuracy 0.1875, precision [0.0, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0, nan, nan], recall [0.0, 0.0, nan, 0.25, nan, nan, nan, 0.0, nan]
2019-02-19T19:34:47.331220: step 240, loss 2.05908, accuracy 0.3125, precision [0.0, 0.0, 0.0, 0.4, 0.6, 0.0, nan, 0.0, nan], recall [0.0, 0.0, 0.0, 0.5, 1.0, nan, nan, 0.0, nan]
2019-02-19T19:34:51.355231: step 241, loss 1.62793, accuracy 0.5, precision [0.0, 0.0, 1.0, 0.75, 0.75, nan, 1.0, 0.0, nan], recall [0.0, 0.0, 0.3333333333333333, 0.6, 0.75, nan, 1.0, 0.0, nan]
2019-02-19T19:34:55.359468: step 242, loss 2.3087, accuracy 0.375, precision [0.3333333333333333, nan, 0.3333333333333333, 0.4, nan, nan, nan, 0.5, 0.0], recall [0.25, 0.0, 1.0, 0.2857142857142857, 0.0, nan, nan, 1.0, nan]
2019-02-19T19:34:59.357265: step 243, loss 1.57626, accuracy 0.5, precision [0.0, 0.0, 0.5, 1.0, 0.4, 0.0, nan, nan, nan], recall [0.0, nan, 0.6666666666666666, 0.4444444444444444, 1.0, nan, nan, 0.0, nan]
2019-02-19T19:35:03.351346: step 244, loss 1.92114, accuracy 0.375, precision [nan, 1.0, 0.0, 0.3333333333333333, 0.75, 0.0, nan, 0.0, nan], recall [0.0, 0.2, nan, 0.4, 1.0, nan, 0.0, 0.0, nan]
2019-02-19T19:35:07.344845: step 245, loss 1.4867, accuracy 0.375, precision [nan, 0.3333333333333333, 0.0, 0.375, 1.0, 0.0, nan, 0.0, nan], recall [0.0, 0.2, nan, 0.5, 0.5, nan, nan, nan, nan]
2019-02-19T19:35:11.351299: step 246, loss 2.1849, accuracy 0.25, precision [0.5, 0.0, 0.0, 0.5, 0.5, nan, 0.0, 0.0, 0.0], recall [0.5, 0.0, 0.0, 0.4, 0.25, nan, nan, nan, nan]
2019-02-19T19:35:15.351404: step 247, loss 1.94154, accuracy 0.25, precision [0.0, 0.0, 0.0, 0.25, 1.0, 0.0, nan, nan, nan], recall [nan, 0.0, nan, 0.125, 0.75, nan, nan, 0.0, 0.0]
2019-02-19T19:35:19.364106: step 248, loss 2.35763, accuracy 0.3125, precision [0.0, 0.0, 0.0, 0.6, 1.0, 0.0, 0.0, 0.25, nan], recall [0.0, nan, 0.0, 0.375, 0.3333333333333333, nan, 0.0, 1.0, nan]
2019-02-19T19:35:23.365594: step 249, loss 2.09458, accuracy 0.375, precision [0.0, 0.0, 1.0, 0.75, 0.25, 0.0, nan, 0.0, nan], recall [nan, 0.0, 1.0, 0.3333333333333333, 0.3333333333333333, nan, nan, nan, nan]
2019-02-19T19:35:27.366912: step 250, loss 1.65177, accuracy 0.375, precision [0.0, 0.0, 0.0, 0.5714285714285714, 0.3333333333333333, 0.0, nan, 0.0, 1.0], recall [nan, nan, 0.0, 0.4444444444444444, 0.5, 0.0, nan, 0.0, 1.0]

Evaluation:
